timestep,day,hour_of_day,is_night,p_load_mw,p_solar_mw,p_battery_mw,p_grid_mw,soc,v_min,v_min_measured,v_max,v_mean,line_loading_max,p_loss_mw,converged,v_margin,severity,blackout,risk_score,p_load_lag_1,p_solar_lag_1,p_load_lag_2,p_solar_lag_2,p_load_lag_3,p_solar_lag_3
203,8,11,0,3.469919889088058,2.857711350109441,5.781744731688659e-18,0.6122085389786167,0.10000000000000006,0.957985151240787,0.959521475623284,1.0952881516230157,1.002140889735993,30.144174315796622,0.3680213488458117,1,0.027985,NORMAL,0,0.14538215991273407,3.4329991128463035,2.142912928704706,3.3927118783776926,2.02162530143926,2.8745705527201904,1.564811171346211
204,8,12,0,3.37885152133133,2.755702355281266,4.625395785350927e-18,0.6231491660500641,0.10000000000000005,0.9590304403780562,0.9485408866231527,1.0919987304450838,1.0019150650338027,29.27826979476682,0.34389771484197507,1,0.02903,NORMAL,0,0.24741381967250972,3.469919889088058,2.857711350109441,3.4329991128463035,2.142912928704706,3.3927118783776926,2.02162530143926
205,8,13,0,3.3313944283000323,2.765545213651288,3.4690468390131957e-18,0.5658492146487442,0.10000000000000003,0.9601723585150436,0.9548880857084794,1.0934271655908345,1.002663804759274,28.73954544031705,0.3446544798910409,1,0.030172,NORMAL,0,0.18342915742215737,3.37885152133133,2.755702355281266,3.469919889088058,2.857711350109441,3.4329991128463035,2.142912928704706
206,8,14,0,3.322317572339843,1.9470043670804127,2.3126978926754637e-18,1.3753132052594303,0.10000000000000003,0.9520093785622177,0.9471962508239633,1.0504592837834499,0.9907654799708364,31.04058416052745,0.20126298713225124,1,0.022009,NORMAL,0,0.2627401185576892,3.3313944283000323,2.765545213651288,3.37885152133133,2.755702355281266,3.469919889088058,2.857711350109441
207,8,15,0,3.342419320607924,1.7610486788964197,2.3126978926754637e-18,1.581370641711504,0.10000000000000003,0.9494854301995899,0.9428468455605603,1.039551562667269,0.9875472350312838,32.21744847439506,0.1781874423643059,1,0.019485,NORMAL,0,0.31630375439754127,3.322317572339843,1.9470043670804127,3.3313944283000323,2.765545213651288,3.37885152133133,2.755702355281266
208,8,16,0,3.37038936481723,1.2908274321923496,2.3126978926754637e-18,2.0795619326248804,0.10000000000000003,0.9432790088860684,0.9453585216742346,1.0110856381849553,0.9792783794060024,35.49869084612264,0.13546858735609116,1,0.013279,NORMAL,0,0.28465005651822545,3.342419320607924,1.7610486788964197,3.322317572339843,1.9470043670804127,3.3313944283000323,2.765545213651288
209,8,17,0,3.387132059218568,0.5720915519509255,2.3126978926754637e-18,2.8150405072676428,0.10000000000000003,0.9333068934473345,0.9561737081067465,1.0,0.9655865767258006,41.68841390489769,0.12156932336721332,1,0.003307,MODERATE,0,0.17215617129710337,3.37038936481723,1.2908274321923496,3.342419320607924,1.7610486788964197,3.322317572339843,1.9470043670804127
210,8,18,0,3.511798328750169,0.1124647260066208,2.3126978926754637e-18,3.3993336027435483,0.10000000000000003,0.9233577621968133,0.9257909644459156,1.0,0.9540429541986948,48.26852345944646,0.1654506647633594,1,-0.006642,HIGH,1,0.5628021072994137,3.387132059218568,0.5720915519509255,3.37038936481723,1.2908274321923496,3.342419320607924,1.7610486788964197
211,8,19,0,3.452070698603652,0.0,2.3126978926754637e-18,3.452070698603652,0.10000000000000003,0.9197278491842455,0.9295172897838209,1.0,0.9523755552001244,48.66000357246835,0.17308529977413997,1,-0.010272,CRITICAL,1,0.5072401471435977,3.511798328750169,0.1124647260066208,3.387132059218568,0.5720915519509255,3.37038936481723,1.2908274321923496
212,8,20,1,3.3592418819827783,0.0,2.3126978926754637e-18,3.3592418819827783,0.10000000000000003,0.9220506749292355,0.917640651678733,1.0,0.9537478719749722,47.280826684467606,0.1632734215048318,1,-0.007949,HIGH,1,0.6773370875915635,3.452070698603652,0.0,3.511798328750169,0.1124647260066208,3.387132059218568,0.5720915519509255
213,8,21,1,3.2570688883873697,0.0,2.3126978926754637e-18,3.2570688883873697,0.10000000000000003,0.9245952061908453,0.919093434490897,1.0,0.9552515865327055,45.76797107633022,0.15284947923111372,1,-0.005405,HIGH,1,0.657999940654285,3.3592418819827783,0.0,3.452070698603652,0.0,3.511798328750169,0.1124647260066208
